id_avaliacao,id_loja,data,nota,canal,tempo_espera_min,comentario
AV0054,LJ02,2025-10-07,5.0,app,6.0,"Equipe atenciosa, já conhecem meu pedido"
AV0055,LJ02,2026-01-10,4.0,google,7.0,Preço justo pelo que entrega
AV0056,LJ02,2026-06-16,3.0,google,8.0,Café bom mas o atendimento demorou
AV0057,LJ02,2026-05-15,5.0,google maps,7.0,"Café muito bom, atendimento rápido"
AV0058,LJ02,2025-12-01,4.0,app,4.0,
AV0059,LJ02,2026-03-14,5.0,app,9.0,Preço justo pelo que entrega
AV0060,LJ02,2026-06-10,5.0,app,9.0,Melhor espresso da região
AV0061,LJ02,2025-12-26,5.0,google maps,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0062,LJ02,2026-04-22,4.0,google,4.0,Preço justo pelo que entrega
AV0063,LJ02,2026-03-02,5.0,totem na loja,5.0,Preço justo pelo que entrega
AV0064,LJ02,2025-08-21,5.0,google,9.0,"Café muito bom, atendimento rápido"
AV0065,LJ02,2025-09-06,4.0,google,5.0,"Café muito bom, atendimento rápido"
AV0066,LJ02,2026-06-14,5.0,totem na loja,8.0,
AV0067,LJ03,2026-06-05,5.0,google,9.0,Preço justo pelo que entrega
AV0068,LJ03,2026-04-11,5.0,google,9.0,Cold brew excelente
AV0069,LJ03,2026-03-02,4.0,app,8.0,Preço justo pelo que entrega
AV0070,LJ03,2025-08-03,5.0,app,5.0,Pão de queijo sempre quente
AV0071,LJ03,2026-02-26,4.0,google,6.0,Ambiente agradável para trabalhar
AV0072,LJ03,2026-06-14,5.0,google,10.0,Cold brew excelente
AV0073,LJ03,2025-08-29,4.0,app,8.0,Preço justo pelo que entrega
AV0074,LJ03,2025-11-29,4.0,totem na loja,8.0,Cold brew excelente
AV0075,LJ03,2026-04-28,4.0,google,5.0,Cold brew excelente
AV0076,LJ03,2026-04-28,5.0,google maps,9.0,Ambiente agradável para trabalhar
AV0077,LJ03,2025-07-18,3.0,totem na loja,8.0,
AV0078,LJ03,2026-05-08,5.0,google,10.0,Pão de queijo sempre quente
AV0079,LJ03,2026-01-11,4.0,totem na loja,11.0,Pão de queijo sempre quente
AV0080,LJ03,2026-05-01,5.0,google,9.0,Cold brew excelente
AV0081,LJ03,2026-05-25,5.0,app,11.0,Cold brew excelente
AV0082,LJ03,2025-08-25,4.0,google,7.0,
AV0083,LJ03,2026-02-24,4.0,totem na loja,5.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0084,LJ03,2025-10-22,5.0,app,10.0,Melhor espresso da região
AV0085,LJ03,2025-08-09,4.0,app,10.0,Pão de queijo sempre quente
AV0086,LJ03,2025-11-11,4.0,google maps,8.0,
AV0087,LJ03,2025-08-09,5.0,totem na loja,7.0,Cold brew excelente
AV0088,LJ03,2025-10-27,3.0,google maps,7.0,"Café bom, cardápio poderia ter mais opções"
AV0089,LJ03,2025-10-07,4.0,google,5.0,Pão de queijo sempre quente
AV0090,LJ03,2025-10-30,4.0,app,7.0,Preço justo pelo que entrega
AV0091,LJ03,2026-06-02,4.0,app,8.0,Melhor espresso da região
AV0092,LJ03,2026-05-14,5.0,google maps,10.0,
AV0093,LJ03,2025-08-18,4.0,app,5.0,Pão de queijo sempre quente
AV0094,LJ03,2026-02-16,5.0,app,7.0,Ambiente agradável para trabalhar
AV0095,LJ03,2026-02-28,4.0,app,7.0,Melhor espresso da região
AV0096,LJ03,2025-07-27,5.0,app,6.0,Ambiente agradável para trabalhar
AV0097,LJ03,2026-02-12,5.0,app,5.0,"Equipe atenciosa, já conhecem meu pedido"
AV0098,LJ03,2025-10-26,4.0,google maps,8.0,
AV0099,LJ03,2025-08-22,5.0,google,7.0,
AV0100,LJ04,2025-11-09,4.0,app,18.0,"Equipe atenciosa, já conhecem meu pedido"
AV0101,LJ04,2025-10-19,4.0,totem na loja,11.0,"Café muito bom, atendimento rápido"
AV0102,LJ04,2025-09-22,3.0,app,17.0,"Bom, mas faltava opção sem lactose"
AV0103,LJ04,2025-10-01,3.0,app,10.0,
AV0104,LJ04,2025-09-12,3.0,google,8.0,"Bom, mas faltava opção sem lactose"
AV0105,LJ04,2026-06-02,3.0,google maps,11.0,"Atendimento ok, mesa suja quando cheguei"
AV0106,LJ04,2026-06-21,3.0,google,8.0,
AV0107,LJ04,2026-06-17,2.0,app,14.0,Só tinha um atendente no horário de pico
AV0108,LJ04,2025-08-09,3.0,app,8.0,"Gostei, só achei o lugar cheio demais"
AV0109,LJ04,2025-09-15,3.0,totem na loja,17.0,"Atendimento ok, mesa suja quando cheguei"
AV0110,LJ04,2026-03-21,4.0,app,18.0,Cold brew excelente
AV0111,LJ04,2025-08-19,3.0,google,18.0,"Bom, mas faltava opção sem lactose"
AV0112,LJ04,2025-10-29,4.0,google,18.0,
AV0113,LJ04,2026-03-25,4.0,totem na loja,13.0,"Equipe atenciosa, já conhecem meu pedido"
AV0114,LJ04,2025-10-29,3.0,totem na loja,9.0,"Café bom, cardápio poderia ter mais opções"
AV0115,LJ04,2026-01-11,3.0,totem na loja,10.0,
AV0116,LJ04,2025-08-12,5.0,totem na loja,14.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0117,LJ04,2026-03-07,3.0,google,16.0,"Atendimento ok, mesa suja quando cheguei"
AV0118,LJ04,2025-10-18,4.0,app,9.0,Cold brew excelente
AV0119,LJ04,2026-01-12,3.0,totem na loja,15.0,Café bom mas o atendimento demorou
AV0120,LJ04,2025-07-14,3.0,app,9.0,"Café bom, cardápio poderia ter mais opções"
AV0121,LJ04,2026-01-18,4.0,google maps,17.0,Melhor espresso da região
AV0122,LJ04,2026-03-14,3.0,app,14.0,"Atendimento ok, mesa suja quando cheguei"
AV0123,LJ04,2025-07-13,4.0,google,13.0,Melhor espresso da região
AV0124,LJ04,2026-03-20,3.0,app,14.0,"Atendimento ok, mesa suja quando cheguei"
AV0125,LJ04,2025-08-02,5.0,google,8.0,Pão de queijo sempre quente
AV0126,LJ04,2026-05-16,3.0,totem na loja,15.0,"Atendimento ok, mesa suja quando cheguei"
AV0127,LJ04,2026-01-28,4.0,google maps,17.0,Cold brew excelente
AV0128,LJ04,2026-02-27,3.0,totem na loja,9.0,Café bom mas o atendimento demorou
AV0129,LJ04,2025-07-16,3.0,google,17.0,"Bom, mas faltava opção sem lactose"
AV0130,LJ04,2026-05-20,4.0,google,9.0,Pão de queijo sempre quente
AV0131,LJ04,2026-03-29,4.0,google,11.0,"Equipe atenciosa, já conhecem meu pedido"
AV0132,LJ04,2025-09-17,3.0,app,14.0,"Café bom, cardápio poderia ter mais opções"
AV0133,LJ05,2026-05-31,4.0,totem na loja,4.0,
AV0134,LJ05,2026-03-21,4.0,google maps,8.0,
AV0135,LJ05,2025-10-16,5.0,google,4.0,"Café muito bom, atendimento rápido"
AV0136,LJ05,2026-01-16,4.0,app,7.0,
AV0137,LJ05,2025-12-30,4.0,app,4.0,"Café muito bom, atendimento rápido"
AV0138,LJ05,2025-11-09,5.0,google,8.0,Pão de queijo sempre quente
AV0139,LJ05,2026-06-12,5.0,google,3.0,Preço justo pelo que entrega
AV0140,LJ05,2026-01-16,4.0,google,3.0,Cold brew excelente
AV0141,LJ05,2026-04-18,4.0,totem na loja,8.0,Melhor espresso da região
AV0142,LJ05,2025-07-25,4.0,app,5.0,Pão de queijo sempre quente
AV0143,LJ05,2026-02-09,4.0,google,4.0,
AV0144,LJ05,2025-10-23,3.0,totem na loja,7.0,Café bom mas o atendimento demorou
AV0145,LJ05,2025-07-16,5.0,google maps,3.0,Ambiente agradável para trabalhar
AV0146,LJ05,2026-01-08,5.0,app,6.0,Preço justo pelo que entrega
AV0147,LJ05,2026-03-14,3.0,google maps,8.0,
AV0148,LJ05,2025-12-25,4.0,app,8.0,Preço justo pelo que entrega
AV0149,LJ05,2026-05-26,4.0,google,7.0,Pão de queijo sempre quente
AV0150,LJ05,2025-09-30,4.0,google,8.0,Ambiente agradável para trabalhar
AV0151,LJ05,2025-10-28,3.0,google,3.0,"Bom, mas faltava opção sem lactose"
AV0152,LJ05,2025-07-16,4.0,google maps,8.0,Preço justo pelo que entrega
AV0153,LJ05,2025-11-17,4.0,google maps,4.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0154,LJ05,2025-07-04,5.0,google,6.0,Cold brew excelente
AV0155,LJ05,2026-02-04,4.0,google,6.0,Ambiente agradável para trabalhar
AV0156,LJ05,2025-10-10,5.0,google,6.0,"Café muito bom, atendimento rápido"
AV0157,LJ05,2026-04-04,4.0,app,5.0,"Equipe atenciosa, já conhecem meu pedido"
AV0158,LJ05,2026-02-13,4.0,totem na loja,4.0,Cold brew excelente
AV0159,LJ05,2025-09-02,4.0,google,4.0,
AV0160,LJ05,2026-03-15,3.0,google,5.0,"Gostei, só achei o lugar cheio demais"
AV0161,LJ05,2026-05-16,5.0,google,4.0,Cold brew excelente
AV0162,LJ05,2025-10-28,4.0,app,4.0,
AV0163,LJ05,2026-04-19,5.0,totem na loja,8.0,Melhor espresso da região
AV0164,LJ05,2025-09-14,4.0,google,7.0,Ambiente agradável para trabalhar
AV0165,LJ05,2026-01-22,5.0,google,7.0,Pão de queijo sempre quente
AV0166,LJ06,2025-07-23,5.0,google,7.0,"Café muito bom, atendimento rápido"
AV0167,LJ06,2025-09-12,5.0,google,6.0,Pão de queijo sempre quente
AV0168,LJ06,2026-01-29,4.0,google maps,7.0,Cold brew excelente
AV0169,LJ06,2026-04-03,4.0,app,4.0,Ambiente agradável para trabalhar
AV0170,LJ06,2025-12-27,5.0,google,7.0,Ambiente agradável para trabalhar
AV0171,LJ06,2026-02-23,5.0,app,6.0,Melhor espresso da região
AV0172,LJ06,2025-07-24,5.0,google,6.0,Preço justo pelo que entrega
AV0173,LJ06,2026-02-26,5.0,google,4.0,Pão de queijo sempre quente
AV0174,LJ06,2026-02-07,5.0,google maps,3.0,"Café muito bom, atendimento rápido"
AV0175,LJ06,2026-04-12,4.0,app,7.0,Cold brew excelente
AV0176,LJ06,2026-01-17,5.0,google,5.0,Cold brew excelente
AV0177,LJ06,2025-08-25,5.0,app,5.0,Preço justo pelo que entrega
AV0178,LJ06,2025-08-28,4.0,google,7.0,Preço justo pelo que entrega
AV0179,LJ06,2025-08-20,5.0,totem na loja,3.0,Preço justo pelo que entrega
AV0180,LJ06,2025-10-01,5.0,app,6.0,Cold brew excelente
AV0181,LJ06,2026-02-16,5.0,google maps,7.0,"Equipe atenciosa, já conhecem meu pedido"
AV0182,LJ06,2026-03-07,4.0,totem na loja,7.0,
AV0183,LJ06,2025-07-26,5.0,google maps,8.0,"Equipe atenciosa, já conhecem meu pedido"
AV0184,LJ06,2026-06-16,4.0,google maps,5.0,
AV0185,LJ06,2025-11-18,5.0,google maps,6.0,Pão de queijo sempre quente
AV0186,LJ06,2026-04-12,4.0,app,7.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0187,LJ06,2025-08-24,4.0,google,7.0,Preço justo pelo que entrega
AV0188,LJ06,2026-04-02,5.0,google,6.0,Preço justo pelo que entrega
AV0189,LJ06,2026-05-02,5.0,app,5.0,"Café muito bom, atendimento rápido"
AV0190,LJ06,2026-01-25,5.0,app,4.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0191,LJ06,2025-10-23,5.0,totem na loja,5.0,"Equipe atenciosa, já conhecem meu pedido"
AV0192,LJ06,2026-01-26,4.0,google maps,4.0,Cold brew excelente
AV0193,LJ06,2026-05-08,4.0,google,5.0,Pão de queijo sempre quente
AV0194,LJ06,2025-12-25,5.0,google,7.0,"Café muito bom, atendimento rápido"
AV0195,LJ06,2025-12-08,4.0,google,7.0,Cold brew excelente
AV0196,LJ06,2025-08-08,4.0,google,7.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0197,LJ06,2026-06-25,4.0,google maps,4.0,Pão de queijo sempre quente
AV0198,LJ06,2026-02-06,5.0,app,4.0,Melhor espresso da região
AV0199,LJ07,2025-07-19,4.0,google maps,8.0,Preço justo pelo que entrega
AV0200,LJ07,2026-03-10,4.0,google,8.0,Ambiente agradável para trabalhar
AV0201,LJ07,2025-09-06,3.0,app,5.0,"Bom, mas faltava opção sem lactose"
AV0202,LJ07,2026-01-09,5.0,google maps,8.0,"Café muito bom, atendimento rápido"
AV0203,LJ07,2026-02-10,4.0,google,5.0,Pão de queijo sempre quente
AV0204,LJ07,2026-01-09,4.0,google,5.0,Cold brew excelente
AV0205,LJ07,2026-05-27,4.0,google,5.0,"Equipe atenciosa, já conhecem meu pedido"
AV0206,LJ07,2025-10-12,3.0,google,6.0,"Café bom, cardápio poderia ter mais opções"
AV0207,LJ07,2026-04-21,4.0,google,10.0,Pão de queijo sempre quente
AV0208,LJ07,2025-09-27,4.0,totem na loja,6.0,Preço justo pelo que entrega
AV0209,LJ07,2025-08-26,4.0,google,8.0,
AV0210,LJ07,2025-10-01,4.0,app,8.0,Ambiente agradável para trabalhar
AV0211,LJ07,2025-11-27,4.0,google,6.0,Ambiente agradável para trabalhar
AV0212,LJ07,2026-01-27,4.0,google,8.0,Ambiente agradável para trabalhar
AV0213,LJ07,2026-05-23,5.0,totem na loja,9.0,
AV0214,LJ07,2026-04-12,5.0,google maps,9.0,Ambiente agradável para trabalhar
AV0215,LJ07,2025-08-08,4.0,app,6.0,Preço justo pelo que entrega
AV0216,LJ07,2025-12-26,4.0,app,5.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0217,LJ07,2026-05-23,4.0,app,5.0,"Café muito bom, atendimento rápido"
AV0218,LJ07,2025-12-24,5.0,app,9.0,
AV0219,LJ07,2026-01-17,5.0,google,5.0,Cold brew excelente
AV0220,LJ07,2026-02-08,3.0,app,9.0,Café bom mas o atendimento demorou
AV0221,LJ07,2025-09-13,5.0,google maps,7.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0222,LJ07,2026-06-30,5.0,app,6.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0223,LJ07,2025-12-28,5.0,app,7.0,Ambiente agradável para trabalhar
AV0224,LJ07,2026-06-24,5.0,google,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0225,LJ07,2026-03-09,5.0,google,9.0,
AV0226,LJ07,2025-10-18,4.0,google maps,5.0,Cold brew excelente
AV0227,LJ07,2025-12-17,5.0,totem na loja,6.0,Melhor espresso da região
AV0228,LJ07,2025-11-09,4.0,app,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0229,LJ07,2025-10-27,5.0,totem na loja,8.0,Ambiente agradável para trabalhar
AV0230,LJ07,2025-09-16,3.0,google,10.0,
AV0231,LJ07,2025-09-21,4.0,google maps,8.0,Cold brew excelente
AV0232,LJ08,2025-09-24,5.0,google maps,11.0,Ambiente agradável para trabalhar
AV0233,LJ08,2025-10-15,3.0,app,9.0,Café bom mas o atendimento demorou
AV0234,LJ08,2025-07-12,5.0,app,6.0,Pão de queijo sempre quente
AV0235,LJ08,2025-08-27,4.0,google,8.0,Cold brew excelente
AV0236,LJ08,2026-05-07,4.0,google,12.0,Pão de queijo sempre quente
AV0237,LJ08,2026-05-17,4.0,google,9.0,Melhor espresso da região
AV0238,LJ08,2025-07-14,5.0,totem na loja,7.0,Preço justo pelo que entrega
AV0239,LJ08,2026-02-16,3.0,totem na loja,9.0,"Café bom, cardápio poderia ter mais opções"
AV0240,LJ08,2025-07-02,5.0,google,9.0,Preço justo pelo que entrega
AV0241,LJ08,2025-09-19,3.0,totem na loja,12.0,Café bom mas o atendimento demorou
AV0242,LJ08,2026-03-16,3.0,google maps,5.0,
AV0243,LJ08,2026-01-26,3.0,google maps,12.0,"Café bom, cardápio poderia ter mais opções"
AV0244,LJ08,2026-02-15,5.0,app,11.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0245,LJ08,2026-06-01,4.0,app,6.0,"Equipe atenciosa, já conhecem meu pedido"
AV0246,LJ08,2025-10-15,5.0,google,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0247,LJ08,2026-06-24,3.0,app,8.0,Café bom mas o atendimento demorou
AV0248,LJ08,2026-04-18,4.0,google maps,6.0,Cold brew excelente
AV0249,LJ08,2026-05-19,4.0,google,12.0,
AV0250,LJ08,2026-04-16,4.0,app,6.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0251,LJ08,2025-10-15,4.0,app,12.0,Melhor espresso da região
AV0252,LJ08,2026-01-31,4.0,google,11.0,
AV0253,LJ08,2026-05-25,3.0,google maps,11.0,"Atendimento ok, mesa suja quando cheguei"
AV0254,LJ08,2025-11-15,4.0,google,10.0,Cold brew excelente
AV0255,LJ08,2026-05-05,4.0,google maps,8.0,Melhor espresso da região
AV0256,LJ08,2026-01-25,4.0,totem na loja,8.0,Pão de queijo sempre quente
AV0257,LJ08,2025-12-25,3.0,google,6.0,"Café bom, cardápio poderia ter mais opções"
AV0258,LJ08,2025-11-12,5.0,app,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0259,LJ08,2026-04-10,3.0,google,12.0,"Bom, mas faltava opção sem lactose"
AV0260,LJ08,2026-02-07,3.0,google,6.0,"Gostei, só achei o lugar cheio demais"
AV0261,LJ08,2026-02-11,5.0,google,5.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0262,LJ08,2026-05-23,4.0,app,11.0,Preço justo pelo que entrega
AV0263,LJ08,2026-05-20,5.0,google,9.0,Ambiente agradável para trabalhar
AV0264,LJ08,2025-07-09,5.0,google,6.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0265,LJ09,2025-10-09,4.0,google,8.0,Pão de queijo sempre quente
AV0266,LJ09,2025-12-22,4.0,app,9.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0267,LJ09,2026-04-07,4.0,app,6.0,Pão de queijo sempre quente
AV0268,LJ09,2026-01-09,4.0,totem na loja,12.0,Ambiente agradável para trabalhar
AV0269,LJ09,2026-05-31,2.0,app,13.0,Pedi cappuccino e veio frio
AV0270,LJ09,2025-11-20,4.0,google maps,12.0,Preço justo pelo que entrega
AV0271,LJ09,2025-11-09,3.0,totem na loja,11.0,
AV0272,LJ09,2025-12-01,3.0,google,10.0,"Atendimento ok, mesa suja quando cheguei"
AV0273,LJ09,2026-03-25,3.0,google maps,8.0,
AV0274,LJ09,2026-04-11,4.0,google,8.0,
AV0275,LJ09,2025-07-03,4.0,google,8.0,"Café muito bom, atendimento rápido"
AV0276,LJ09,2026-04-29,3.0,google,9.0,Café bom mas o atendimento demorou
AV0277,LJ09,2025-09-21,3.0,app,11.0,"Atendimento ok, mesa suja quando cheguei"
AV0278,LJ09,2025-07-02,4.0,google,6.0,Pão de queijo sempre quente
AV0279,LJ09,2026-05-20,2.0,google,16.0,"Fila enorme, esperei mais de 15 minutos"
AV0280,LJ09,2025-08-13,3.0,app,11.0,"Gostei, só achei o lugar cheio demais"
AV0281,LJ09,2026-02-20,3.0,google,7.0,"Atendimento ok, mesa suja quando cheguei"
AV0282,LJ09,2026-05-03,4.0,google,11.0,
AV0283,LJ09,2026-06-01,3.0,google,8.0,
AV0284,LJ09,2026-01-28,4.0,google,7.0,Cold brew excelente
AV0285,LJ09,2026-04-25,3.0,totem na loja,8.0,"Café bom, cardápio poderia ter mais opções"
AV0286,LJ09,2025-11-05,5.0,google,6.0,Ambiente agradável para trabalhar
AV0287,LJ09,2025-12-24,4.0,google,11.0,Preço justo pelo que entrega
AV0288,LJ09,2025-07-22,3.0,app,8.0,"Gostei, só achei o lugar cheio demais"
AV0289,LJ09,2025-07-29,3.0,google,11.0,
AV0290,LJ09,2026-04-14,3.0,google maps,10.0,
AV0291,LJ09,2025-08-07,4.0,totem na loja,8.0,Cold brew excelente
AV0292,LJ09,2026-04-19,3.0,totem na loja,6.0,"Gostei, só achei o lugar cheio demais"
AV0293,LJ09,2025-08-28,3.0,google,8.0,"Gostei, só achei o lugar cheio demais"
AV0294,LJ09,2025-12-06,4.0,totem na loja,9.0,
AV0295,LJ09,2026-01-28,3.0,app,12.0,
AV0296,LJ09,2025-09-29,5.0,google maps,8.0,Pão de queijo sempre quente
AV0297,LJ09,2025-09-15,4.0,totem na loja,11.0,Melhor espresso da região
AV0298,LJ10,2025-11-22,5.0,totem na loja,11.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0299,LJ10,2025-11-04,3.0,google,8.0,"Café bom, cardápio poderia ter mais opções"
AV0300,LJ10,2025-11-02,3.0,google,10.0,Café bom mas o atendimento demorou
AV0301,LJ10,2025-11-11,3.0,totem na loja,9.0,"Gostei, só achei o lugar cheio demais"
AV0302,LJ10,2025-12-28,3.0,app,6.0,"Café bom, cardápio poderia ter mais opções"
AV0303,LJ10,2025-10-08,3.0,totem na loja,5.0,Café bom mas o atendimento demorou
AV0304,LJ10,2026-01-28,4.0,google maps,6.0,Cold brew excelente
AV0305,LJ10,2026-04-22,4.0,google,7.0,Ambiente agradável para trabalhar
AV0306,LJ10,2026-06-11,4.0,totem na loja,9.0,Ambiente agradável para trabalhar
AV0307,LJ10,2026-06-22,4.0,app,9.0,"Equipe atenciosa, já conhecem meu pedido"
AV0308,LJ10,2025-11-09,4.0,totem na loja,6.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0309,LJ10,2025-12-16,5.0,google,11.0,Cold brew excelente
AV0310,LJ10,2025-11-17,4.0,app,11.0,Ambiente agradável para trabalhar
AV0311,LJ10,2025-12-06,5.0,app,6.0,
AV0312,LJ10,2026-03-24,4.0,google maps,11.0,Melhor espresso da região
AV0313,LJ10,2025-11-17,3.0,totem na loja,7.0,"Café bom, cardápio poderia ter mais opções"
AV0314,LJ10,2026-03-04,4.0,google,10.0,Ambiente agradável para trabalhar
AV0315,LJ10,2026-04-15,4.0,google,10.0,"Café muito bom, atendimento rápido"
AV0316,LJ10,2025-10-26,4.0,google maps,8.0,"Café muito bom, atendimento rápido"
AV0317,LJ10,2025-09-15,5.0,google,8.0,"Café muito bom, atendimento rápido"
AV0318,LJ10,2026-01-30,4.0,google maps,10.0,Pão de queijo sempre quente
AV0319,LJ10,2025-09-21,3.0,google,8.0,
AV0320,LJ10,2026-03-17,5.0,google,8.0,
AV0321,LJ10,2026-05-22,4.0,app,6.0,"Equipe atenciosa, já conhecem meu pedido"
AV0322,LJ10,2026-01-27,5.0,google maps,9.0,"Equipe atenciosa, já conhecem meu pedido"
AV0323,LJ10,2025-10-10,5.0,totem na loja,9.0,"Equipe atenciosa, já conhecem meu pedido"
AV0324,LJ11,2026-04-05,5.0,app,4.0,
AV0325,LJ11,2026-04-17,4.0,app,5.0,"Café muito bom, atendimento rápido"
AV0326,LJ11,2025-12-07,5.0,google maps,8.0,Preço justo pelo que entrega
AV0327,LJ11,2026-03-05,4.0,app,5.0,Cold brew excelente
AV0328,LJ11,2026-05-31,5.0,google,4.0,"Equipe atenciosa, já conhecem meu pedido"
AV0329,LJ11,2026-04-10,4.0,google,3.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0330,LJ11,2026-01-01,4.0,totem na loja,6.0,"Equipe atenciosa, já conhecem meu pedido"
AV0331,LJ11,2026-05-14,5.0,app,3.0,Preço justo pelo que entrega
AV0332,LJ11,2026-01-28,4.0,google,4.0,Pão de queijo sempre quente
AV0333,LJ11,2026-06-01,4.0,google,4.0,Cold brew excelente
AV0334,LJ11,2025-12-28,3.0,google,5.0,"Bom, mas faltava opção sem lactose"
