data,id_loja,faturamento_bruto,descontos,num_tickets,horas_trabalhadas_equipe,custo_insumos,valor_desperdicio
2025-07-15,LJ05,3180.04,69.11,187,20.7,796.19,13.92
2025-07-15,LJ06,5767.71,292.07,210,92.3,1608.54,50.42
2025-07-15,LJ07,4786.49,166.37,180,43.6,1434.50,67.10
2025-07-15,LJ08,6127.68,394.01,263,55.4,2093.88,96.85
2025-07-15,LJ09,6162.37,358.75,232,75.3,1714.08,83.61
2025-07-16,LJ01,9236.22,847.93,341,76.9,2639.13,164.75
2025-07-16,LJ02,5150.07,227.54,192,59.8,1446.35,46.74
2025-07-16,LJ03,5983.47,293.06,229,65.6,1849.70,73.55
2025-07-16,LJ04,5589.33,236.62,223,45.5,1514.25,76.64
2025-07-16,LJ05,3463.23,70.55,201,20.3,833.59,17.26
2025-07-16,LJ06,7228.14,329.21,243,96.8,1911.90,71.80
2025-07-16,LJ07,4154.32,120.50,170,39.7,1103.62,52.69
2025-07-16,LJ08,6198.43,415.03,267,51.9,2269.11,91.16
2025-07-16,LJ09,5666.57,349.20,225,81.3,1578.54,88.21
2025-07-17,LJ01,8367.64,1158.10,302,75.3,2351.56,148.55
2025-07-17,LJ02,5788.05,219.04,201,53.5,1606.46,76.87
2025-07-17,LJ03,5841.98,385.64,236,68.0,1609.03,106.83
2025-07-17,LJ04,5558.84,165.72,218,52.0,1669.69,63.83
2025-07-17,LJ05,3664.98,89.34,208,22.3,926.01,11.66
2025-07-17,LJ06,8006.77,380.02,266,88.9,2161.06,106.49
2025-07-17,LJ07,4822.29,186.18,193,40.9,1300.77,48.39
2025-07-17,LJ08,6328.17,354.05,275,53.3,2163.87,167.22
2025-07-17,LJ09,5574.28,225.52,221,86.4,1688.41,125.09
2025-07-18,LJ01,9775.79,1289.40,384,79.4,2910.45,214.73
2025-07-18,LJ02,7294.89,261.61,250,57.7,2077.17,65.11
2025-07-18,LJ03,5915.96,341.75,241,71.3,1685.74,112.20
2025-07-18,LJ04,6662.97,277.77,258,56.7,1798.02,69.68
2025-07-18,LJ05,3632.84,89.13,209,20.4,937.18,15.88
2025-07-18,LJ06,7055.19,301.50,253,89.0,1913.91,81.70
2025-07-18,LJ07,6916.06,248.79,263,42.3,2032.87,83.66
2025-07-18,LJ08,6511.55,333.99,281,61.2,2364.80,98.20
2025-07-18,LJ09,6209.77,279.14,234,76.6,1844.54,105.55
2025-07-19,LJ01,7290.10,880.03,284,66.6,2203.19,250.15
2025-07-19,LJ02,8728.74,395.55,309,60.6,2307.76,108.96
2025-07-19,LJ03,4796.98,285.97,195,64.5,1430.70,75.99
2025-07-19,LJ04,8846.58,320.50,338,55.1,2599.31,154.20
2025-07-19,LJ05,2062.80,42.80,128,19.9,502.07,6.40
2025-07-19,LJ06,4759.51,269.76,171,92.4,1323.81,48.73
2025-07-19,LJ07,6128.61,251.43,241,46.7,1796.08,97.66
2025-07-19,LJ08,4415.51,224.85,199,51.4,1533.80,93.82
2025-07-19,LJ09,4629.57,207.48,174,71.8,1364.80,82.41
2025-07-20,LJ01,4017.87,557.15,148,68.1,1158.11,134.85
2025-07-20,LJ02,7496.87,264.84,262,55.6,1944.16,101.49
2025-07-20,LJ03,2736.80,162.75,109,57.5,732.71,46.29
2025-07-20,LJ04,6936.98,221.42,258,48.2,1885.21,102.75
2025-07-20,LJ05,1088.54,19.15,64,17.4,274.53,6.19
2025-07-20,LJ06,3213.83,143.40,109,72.8,869.74,27.83
2025-07-20,LJ07,5034.84,173.69,196,45.9,1359.14,69.07
2025-07-20,LJ08,2458.42,144.69,107,45.9,837.14,54.64
2025-07-20,LJ09,2677.32,139.89,108,62.9,765.56,48.32
2025-07-21,LJ01,9563.73,1027.64,357,72.8,2754.86,217.35
2025-07-21,LJ02,5572.58,206.66,199,51.4,1645.39,55.22
2025-07-21,LJ03,5055.87,225.82,194,63.2,1578.22,85.13
2025-07-21,LJ04,5261.44,212.11,205,44.1,1509.01,86.67
2025-07-21,LJ05,2954.14,71.39,183,21.3,775.02,16.94
2025-07-21,LJ06,7234.37,384.34,251,97.8,1868.93,60.38
2025-07-21,LJ07,3779.69,138.31,150,40.3,1001.58,54.89
2025-07-21,LJ08,6205.69,292.52,267,56.4,2410.88,152.13
2025-07-21,LJ09,4813.31,213.33,190,83.3,1351.86,93.71
2025-07-22,LJ01,8251.66,954.58,301,79.8,2557.90,157.89
2025-07-22,LJ02,5112.65,231.14,188,54.4,1417.83,56.63
2025-07-22,LJ03,5125.42,254.97,214,64.1,1527.22,55.23
2025-07-22,LJ04,5839.48,234.57,221,51.0,1749.70,85.08
2025-07-22,LJ05,3800.98,96.95,227,21.3,933.85,13.80
2025-07-22,LJ06,7060.96,295.69,235,87.9,1897.97,84.37
2025-07-22,LJ07,4342.93,161.93,167,40.8,1185.69,59.29
2025-07-22,LJ08,6588.70,412.52,286,54.8,2553.28,202.42
2025-07-22,LJ09,4975.45,210.97,200,78.0,1415.05,65.02
2025-07-23,LJ01,9431.73,1012.10,356,72.4,2679.65,191.44
2025-07-23,LJ02,5129.47,248.98,183,56.0,1379.13,68.00
2025-07-23,LJ03,5245.74,310.16,213,71.7,1530.13,69.69
2025-07-23,LJ04,4692.23,212.48,186,45.5,1385.47,43.35
2025-07-23,LJ05,3283.70,81.43,192,22.3,884.43,11.81
2025-07-23,LJ06,7124.30,408.43,248,91.9,1982.72,99.13
2025-07-23,LJ07,4049.12,158.78,163,39.7,1198.69,51.56
2025-07-23,LJ08,5435.67,262.60,235,53.2,2144.63,116.77
2025-07-23,LJ09,5794.28,316.44,214,79.8,1825.62,101.26
2025-07-24,LJ01,9910.43,1096.84,358,83.5,2839.38,174.37
2025-07-24,LJ02,6180.02,287.60,220,54.1,1660.27,52.02
2025-07-24,LJ03,5288.30,239.38,203,69.8,1638.62,57.10
2025-07-24,LJ04,6261.00,269.75,235,46.3,1721.37,88.44
2025-07-24,LJ05,3160.32,70.02,193,22.5,850.79,17.14
2025-07-24,LJ06,7757.77,396.29,267,97.8,2041.25,56.29
2025-07-24,LJ07,5527.83,156.92,220,42.9,1656.66,67.55
2025-07-24,LJ08,5911.77,276.33,276,59.0,2254.34,151.40
2025-07-24,LJ09,5286.96,270.80,202,81.6,1633.73,120.01
2025-07-25,LJ01,8761.57,1227.49,319,80.7,2673.69,234.61
2025-07-25,LJ02,7687.26,273.58,266,66.7,2055.18,55.95
2025-07-25,LJ03,5548.95,282.19,232,66.3,1657.58,87.99
2025-07-25,LJ04,6751.69,272.46,260,53.7,1902.61,86.60
2025-07-25,LJ05,3201.12,69.12,193,23.1,846.67,20.41
2025-07-25,LJ06,7878.98,290.50,280,97.6,2097.02,83.98
2025-07-25,LJ07,6139.57,266.00,248,45.7,1706.86,85.37
2025-07-25,LJ08,6128.33,353.75,273,57.8,2348.09,189.32
2025-07-25,LJ09,6642.49,375.89,248,83.3,2021.10,91.87
2025-07-26,LJ01,7518.42,732.49,296,70.8,2421.47,283.89
2025-07-26,LJ02,7808.86,396.04,279,59.8,2198.29,118.70
2025-07-26,LJ03,4221.15,219.69,174,58.0,1188.96,60.93
2025-07-26,LJ04,8697.92,294.97,327,58.1,2320.66,109.93
2025-07-26,LJ05,2538.50,46.81,154,19.6,679.87,14.95
2025-07-26,LJ06,5688.10,268.91,194,82.1,1606.82,80.72
2025-07-26,LJ07,7301.01,236.89,278,44.8,2078.00,66.73
2025-07-26,LJ08,5129.24,308.30,223,50.6,1763.68,95.19
2025-07-26,LJ09,4614.29,246.30,171,77.8,1297.27,64.66
2025-07-27,LJ01,4077.51,430.18,160,62.9,1249.74,76.14
2025-07-27,LJ02,6300.47,208.89,220,54.3,1647.23,64.38
2025-07-27,LJ03,3030.87,150.20,117,56.3,902.34,54.40
2025-07-27,LJ04,6976.62,218.46,256,48.7,2055.62,74.86
2025-07-27,LJ05,1050.13,20.90,64,16.1,274.14,4.26
2025-07-27,LJ06,2974.02,133.72,105,76.7,786.10,24.18
2025-07-27,LJ07,5563.78,217.37,214,39.5,1462.87,63.90
2025-07-27,LJ08,2572.85,146.66,113,46.5,878.57,68.53
2025-07-27,LJ09,2652.46,122.96,103,67.5,751.82,40.25
2025-07-28,LJ01,7531.16,948.36,278,71.8,2245.50,266.62
2025-07-28,LJ02,5686.01,255.99,201,52.1,1615.54,66.71
2025-07-28,LJ03,5301.20,260.86,205,63.0,1530.39,59.80
2025-07-28,LJ04,5501.89,243.21,214,48.1,1514.91,69.29
2025-07-28,LJ05,3348.37,76.03,194,21.4,831.58,18.20
2025-07-28,LJ06,6555.94,327.26,229,88.4,1638.22,71.43
2025-07-28,LJ07,4459.77,139.78,176,43.2,1269.97,51.25
2025-07-28,LJ08,5099.69,354.44,219,57.9,1954.36,124.28
2025-07-28,LJ09,5394.53,257.47,218,73.2,1574.51,67.63
2025-07-29,LJ01,8765.21,1026.99,325,83.7,2540.77,291.84
2025-07-29,LJ02,5669.38,269.50,211,51.6,1473.03,62.68
2025-07-29,LJ03,6211.53,278.04,249,65.6,1864.72,90.63
2025-07-29,LJ04,5547.86,218.94,222,47.2,1579.58,56.38
2025-07-29,LJ05,3423.72,71.82,210,21.0,864.13,15.26
2025-07-29,LJ06,6647.36,365.21,233,100.7,1796.31,53.85
2025-07-29,LJ07,4526.95,146.03,177,38.4,1251.44,56.44
2025-07-29,LJ08,5706.36,368.39,263,57.2,2166.53,158.76
2025-07-29,LJ09,5149.77,265.68,203,86.5,1441.12,78.17
2025-07-30,LJ01,8204.32,994.45,315,82.6,2392.66,157.31
2025-07-30,LJ02,5053.15,243.40,187,59.3,1453.81,77.79
2025-07-30,LJ03,5377.78,282.44,225,69.5,1462.31,84.47
2025-07-30,LJ04,5253.63,192.13,195,45.7,1397.25,65.79
2025-07-30,LJ05,3889.81,71.95,230,22.8,983.85,19.00
2025-07-30,LJ06,7586.51,306.86,256,95.4,2174.37,109.77
2025-07-30,LJ07,4781.93,147.02,188,40.4,1389.65,41.44
2025-07-30,LJ08,6376.41,408.22,294,58.8,2207.80,133.99
2025-07-30,LJ09,5430.81,324.99,201,86.2,1698.06,83.25
2025-07-31,LJ01,9432.94,1261.84,371,80.0,2911.36,249.31
2025-07-31,LJ02,5711.89,264.73,211,54.4,1612.52,77.96
2025-07-31,LJ03,6455.77,277.21,256,71.0,1828.27,127.25
2025-07-31,LJ04,5509.19,229.73,205,52.0,1478.05,89.19
2025-07-31,LJ05,3036.35,74.89,188,22.8,735.56,14.79
2025-07-31,LJ06,6930.39,348.96,248,95.0,1848.36,52.40
2025-07-31,LJ07,4837.30,160.67,189,41.5,1401.66,81.07
2025-07-31,LJ08,6274.70,382.25,273,54.2,2356.16,188.75
2025-07-31,LJ09,5161.46,298.51,194,83.7,1425.72,88.39
2025-08-01,LJ01,9636.17,1266.16,372,85.1,2715.63,272.66
2025-08-01,LJ02,7064.69,346.87,243,60.7,1874.69,98.12
2025-08-01,LJ03,5674.78,255.78,224,70.6,1607.36,100.88
2025-08-01,LJ04,6070.79,227.97,243,50.0,1739.85,104.97
2025-08-01,LJ05,3704.61,73.68,229,21.2,968.70,18.55
2025-08-01,LJ06,8126.56,446.99,276,91.2,2155.09,101.43
2025-08-01,LJ07,5836.22,217.19,228,46.8,1644.97,80.29
2025-08-01,LJ08,5203.13,338.76,239,60.5,1944.55,89.79
2025-08-01,LJ09,5636.20,266.38,209,80.7,1716.63,84.85
2025-08-02,LJ01,6385.27,578.33,233,76.7,2018.41,152.79
2025-08-02,LJ02,7794.23,269.24,293,60.7,2097.73,97.38
2025-08-02,LJ03,4590.26,236.50,184,58.5,1382.50,58.20
2025-08-02,LJ04,9150.34,378.84,333,52.8,2484.96,134.29
2025-08-02,LJ05,2428.82,61.89,141,17.9,607.21,12.28
2025-08-02,LJ06,5761.57,314.06,207,82.5,1556.58,51.29
2025-08-02,LJ07,7093.46,257.67,273,45.3,2034.72,107.68
2025-08-02,LJ08,4691.66,251.95,213,49.9,1770.86,110.02
2025-08-02,LJ09,4490.09,249.66,180,76.1,1321.39,57.64
2025-08-03,LJ01,4642.73,492.17,170,60.0,1304.34,128.15
2025-08-03,LJ02,5975.56,233.57,206,56.6,1643.50,58.36
2025-08-03,LJ03,2720.56,151.16,114,58.1,805.54,29.91
2025-08-03,LJ04,6785.74,299.80,257,49.8,1865.34,73.49
2025-08-03,LJ05,1138.17,28.22,66,16.8,283.34,4.25
2025-08-03,LJ06,2748.89,122.80,96,80.1,689.02,19.74
2025-08-03,LJ07,5592.19,165.04,216,42.4,1661.82,79.20
2025-08-03,LJ08,2429.99,132.79,113,44.5,918.35,65.73
2025-08-03,LJ09,2503.78,126.22,93,68.0,738.62,34.99
2025-08-04,LJ01,8779.69,877.40,346,73.9,2529.67,194.04
2025-08-04,LJ02,5637.67,217.91,200,56.8,1554.43,75.83
2025-08-04,LJ03,4701.27,288.34,196,66.1,1428.84,65.29
2025-08-04,LJ04,4894.02,204.35,196,44.1,1308.31,47.98
2025-08-04,LJ05,3413.84,58.79,196,23.0,917.62,20.49
2025-08-04,LJ06,5555.72,204.80,202,92.3,1499.63,45.54
2025-08-04,LJ07,4207.51,144.62,166,37.9,1263.95,45.13
2025-08-04,LJ08,5084.42,254.37,230,58.0,1961.75,148.21
2025-08-04,LJ09,4851.88,197.66,189,85.2,1369.14,54.04
2025-08-05,LJ01,8587.09,1036.95,333,77.8,2466.57,278.16
2025-08-05,LJ02,4745.43,191.83,172,56.3,1289.80,58.06
2025-08-05,LJ03,5797.45,318.70,227,63.5,1583.62,105.03
2025-08-05,LJ04,5734.29,216.72,217,46.0,1664.91,58.55
2025-08-05,LJ05,3557.57,89.55,217,23.2,844.09,18.32
2025-08-05,LJ06,6690.07,246.69,237,94.5,1690.09,59.65
2025-08-05,LJ07,4041.09,168.73,163,42.4,1108.85,52.32
2025-08-05,LJ08,5555.89,272.27,255,54.8,1934.30,103.22
2025-08-05,LJ09,4700.24,233.84,179,84.9,1324.82,69.93
2025-08-06,LJ01,9578.80,1073.55,359,74.1,2719.90,169.78
2025-08-06,LJ02,5832.32,287.72,201,61.0,1630.99,50.62
2025-08-06,LJ03,4776.77,282.26,189,62.8,1317.69,51.24
2025-08-06,LJ04,5605.65,182.59,215,46.1,1705.00,79.14
2025-08-06,LJ05,3880.76,94.64,228,21.2,988.60,15.93
2025-08-06,LJ06,7278.08,332.87,244,87.2,1889.89,51.16
2025-08-06,LJ07,4841.10,142.89,193,44.1,1300.92,71.50
2025-08-06,LJ08,5330.69,373.59,230,51.6,2035.95,166.32
2025-08-06,LJ09,5785.97,241.37,223,76.4,1628.22,106.72
2025-08-07,LJ01,8825.13,805.78,341,77.0,2719.88,304.06
2025-08-07,LJ02,5930.02,229.49,207,57.2,1567.81,57.20
2025-08-07,LJ03,6226.63,354.40,247,71.0,1800.54,84.80
2025-08-07,LJ04,5790.39,202.22,225,46.2,1576.13,69.33
2025-08-07,LJ05,3231.34,75.89,184,20.2,816.04,15.08
2025-08-07,LJ06,7556.58,368.95,250,91.5,1925.84,52.68
2025-08-07,LJ07,4848.51,187.78,198,44.4,1430.18,70.76
2025-08-07,LJ08,6094.05,364.23,281,60.5,2337.43,114.31
2025-08-07,LJ09,5226.09,258.58,202,77.4,1564.00,118.65
2025-08-08,LJ01,8639.41,833.05,314,78.7,2776.12,240.70
2025-08-08,LJ02,6858.44,280.96,240,61.3,1863.36,52.17
2025-08-08,LJ03,5231.31,327.17,214,68.0,1432.79,95.80
2025-08-08,LJ04,7099.11,328.25,279,52.2,2019.54,103.76
2025-08-08,LJ05,3875.50,65.40,238,21.6,944.10,17.85
2025-08-08,LJ06,6177.70,233.31,217,98.0,1567.92,58.38
2025-08-08,LJ07,5710.10,223.05,225,48.3,1564.66,46.80
2025-08-08,LJ08,6585.75,367.04,297,55.4,2476.62,106.46
2025-08-08,LJ09,5688.85,249.22,219,79.1,1610.56,107.37
2025-08-09,LJ01,7223.07,1004.35,276,67.6,2045.05,154.08
2025-08-09,LJ02,8693.48,417.54,315,60.5,2540.25,111.21
2025-08-09,LJ03,4155.68,228.03,166,64.9,1167.00,43.99
2025-08-09,LJ04,8892.24,379.89,329,56.9,2618.37,114.87
2025-08-09,LJ05,2174.76,38.78,126,18.7,543.70,9.10
2025-08-09,LJ06,5810.81,276.26,196,93.3,1527.58,74.93
2025-08-09,LJ07,7037.25,281.92,279,49.4,2076.01,83.33
2025-08-09,LJ08,4390.63,269.43,187,55.7,1694.03,84.12
2025-08-09,LJ09,4275.54,195.67,162,69.7,1361.03,92.80
2025-08-10,LJ01,3836.66,350.17,147,66.4,1120.69,87.48
2025-08-10,LJ02,6220.70,292.83,231,55.6,1653.67,54.98
2025-08-10,LJ03,2539.34,124.48,98,57.5,734.82,47.47
2025-08-10,LJ04,6251.38,189.30,245,48.5,1752.95,53.92
2025-08-10,LJ05,1186.45,26.09,69,17.4,281.54,6.84
2025-08-10,LJ06,2906.56,156.60,96,73.9,797.38,30.61
2025-08-10,LJ07,4538.67,190.97,188,43.9,1252.19,70.49
2025-08-10,LJ08,2359.84,121.38,104,44.0,818.04,44.28
2025-08-10,LJ09,2502.12,149.39,98,62.2,730.94,43.13
2025-08-11,LJ01,7490.86,807.86,285,72.3,2125.19,215.73
2025-08-11,LJ02,4513.35,180.28,169,56.0,1215.68,33.41
2025-08-11,LJ03,5572.73,321.20,230,62.3,1715.01,107.91
2025-08-11,LJ04,4589.48,201.52,168,44.1,1302.70,60.72
2025-08-11,LJ05,3631.98,86.32,220,23.0,877.81,19.62
2025-08-11,LJ06,6139.69,228.68,223,86.0,1759.63,48.91
2025-08-11,LJ07,4596.44,186.60,173,39.8,1203.11,39.78
2025-08-11,LJ08,4900.08,226.02,214,53.7,1856.32,80.95
2025-08-11,LJ09,4494.50,275.06,170,80.3,1263.44,83.54
2025-08-12,LJ01,8404.81,1008.39,321,82.5,2495.82,247.15
2025-08-12,LJ02,6113.41,216.37,213,58.8,1745.28,63.49
2025-08-12,LJ03,5195.24,264.51,210,63.9,1604.34,74.45
2025-08-12,LJ04,4681.20,169.94,186,49.5,1328.98,55.34
2025-08-12,LJ05,3922.32,74.21,222,20.7,1056.15,26.96
2025-08-12,LJ06,6294.96,285.55,228,91.9,1642.90,70.28
2025-08-12,LJ07,4159.38,162.87,162,37.8,1123.44,62.28
2025-08-12,LJ08,5836.46,328.53,271,53.3,2095.16,146.62
2025-08-12,LJ09,4663.51,253.24,189,79.4,1427.36,99.30
