id_loja,competencia,categoria,produto,quantidade_vendida,preco_medio,custo_unitario
LJ01,2026-02,Bebidas geladas,Limonada suíça,334,"R$ 14,34",4.59
LJ01,2026-02,SALGADOS,Pão de queijo (2 un.),1394,"R$ 12,21",6.15
LJ01,2026-02,SALGADOS,Croissant de queijo,683,"R$ 18,40",10.07
LJ01,2026-02,SALGADOS,Sanduíche de frango,479,"R$ 26,22",15.51
LJ01,2026-02,SALGADOS,Empada de palmito,462,"R$ 14,61",8.35
LJ01,2026-02,Doces,Brownie,571,"R$ 14,36",6.33
LJ01,2026-02,Doces,Cookie de castanha,509,"R$ 10,82",4.93
LJ01,2026-02,Doces,Bolo de cenoura (fatia),387,"R$ 13,10",5.33
LJ01,2026-02,Doces,Torta de limão (fatia),304,"R$ 17,09",7.62
LJ01,2026-02,Grãos e varejo,Café em grãos 250g,355,"R$ 42,57",26.97
LJ01,2026-02,Varejo,Café em grãos 500g,224,"R$ 72,79",
LJ01,2026-02,graos e varejo,Cápsulas 10 un.,270,"R$ 37,21",25.60
LJ01,2026-02,Varejo,Caneca Turmalina,121,"R$ 60,67",37.58
LJ01,2026-03,CAFÉ,Espresso,1426,"R$ 8,69",1.64
LJ01,2026-03,Café,Coado 300ml,1309,"R$ 10,94",2.23
LJ01,2026-03,Cafés,Cappuccino,1343,"R$ 15,48",3.73
LJ01,2026-03,Cafés,Latte,1165,"R$ 16,41",3.89
LJ01,2026-03,cafe,Mocha,747,"R$ 18,47",5.01
LJ01,2026-03,bebidas geladas,Cold brew 400ml,914,"R$ 17,11",5.10
LJ01,2026-03,Bebidas geladas,Frappé Turmalina,727,"R$ 20,62",7.67
LJ01,2026-03,Bebidas geladas,Chá gelado da casa,440,"R$ 12,66",4.08
LJ01,2026-03,Geladas,Limonada suíça,429,"R$ 13,67",4.70
LJ01,2026-03,SALGADOS,Pão de queijo (2 un.),1834,"R$ 11,73",5.93
LJ01,2026-03,salgados,Croissant de queijo,832,"R$ 17,70",10.18
LJ01,2026-03,salgados,Sanduíche de frango,703,"R$ 27,19",16.05
LJ01,2026-03,salgados,Empada de palmito,514,"R$ 15,37",8.36
LJ01,2026-03,Doces,Brownie,758,"R$ 14,22",6.36
LJ01,2026-03,Doces,Cookie de castanha,611,"R$ 11,10",4.63
LJ01,2026-03,Doces,Bolo de cenoura (fatia),431,"R$ 13,25",5.37
LJ01,2026-03,Doces,Torta de limão (fatia),334,"R$ 17,46",7.24
LJ01,2026-03,Grãos e varejo,Café em grãos 250g,408,"R$ 41,87",27.08
LJ01,2026-03,Varejo,Café em grãos 500g,277,"R$ 74,67",50.04
LJ01,2026-03,graos e varejo,Cápsulas 10 un.,375,"R$ 37,15",26.01
LJ01,2026-03,graos e varejo,Caneca Turmalina,161,"R$ 58,10",
LJ01,2026-04,Cafés,Espresso,1492,"R$ 8,48",1.66
LJ01,2026-04,Cafés,Coado 300ml,1256,"R$ 11,20",2.29
LJ01,2026-04,cafe,Cappuccino,1424,"R$ 15,86",3.44
LJ01,2026-04,Cafés,Latte,1255,"R$ 15,57",3.94
LJ01,2026-04,CAFÉ,Mocha,702,"R$ 18,01",5.03
LJ01,2026-04,Geladas,Cold brew 400ml,796,"R$ 16,89",5.13
LJ01,2026-04,Geladas,Frappé Turmalina,630,"R$ 20,61",7.78
LJ01,2026-04,bebidas geladas,Chá gelado da casa,474,"R$ 13,29",4.22
LJ01,2026-04,bebidas geladas,Limonada suíça,408,"R$ 13,67",4.38
LJ01,2026-04,Salgados,Pão de queijo (2 un.),1544,"R$ 11,85",6.02
LJ01,2026-04,Salgados,Croissant de queijo,776,"R$ 17,52",9.65
LJ01,2026-04,Salgados,Sanduíche de frango,567,"R$ 26,77",15.57
LJ01,2026-04,SALGADOS,Empada de palmito,557,"R$ 14,98",7.77
LJ01,2026-04,Doces,Brownie,643,"R$ 14,20",5.93
LJ01,2026-04,doces,Cookie de castanha,638,"R$ 11,23",4.49
LJ01,2026-04,Doces,Bolo de cenoura (fatia),411,"R$ 13,63",5.37
LJ01,2026-04,Doces,Torta de limão (fatia),358,"R$ 17,26",7.69
LJ01,2026-04,graos e varejo,Café em grãos 250g,416,"R$ 41,60",
LJ01,2026-04,Grãos e varejo,Café em grãos 500g,284,"R$ 76,10",
LJ01,2026-04,Grãos e varejo,Cápsulas 10 un.,298,"R$ 38,54",27.98
LJ01,2026-04,graos e varejo,Caneca Turmalina,144,"R$ 57,53",36.76
LJ01,2026-05,Cafés,Espresso,1421,"R$ 8,52",1.74
LJ01,2026-05,Cafés,Coado 300ml,1438,"R$ 10,86",2.28
LJ01,2026-05,Café,Cappuccino,1309,"R$ 15,62",3.66
LJ01,2026-05,Café,Latte,1174,"R$ 15,60",3.80
LJ01,2026-05,cafe,Mocha,718,"R$ 18,52",5.00
LJ01,2026-05,Bebidas geladas,Cold brew 400ml,830,"R$ 16,51",5.15
LJ01,2026-05,bebidas geladas,Frappé Turmalina,665,"R$ 20,79",7.80
LJ01,2026-05,Geladas,Chá gelado da casa,503,"R$ 12,75",4.13
LJ01,2026-05,Geladas,Limonada suíça,433,"R$ 14,05",4.76
LJ01,2026-05,Salgados,Pão de queijo (2 un.),1559,"R$ 11,87",6.03
LJ01,2026-05,SALGADOS,Croissant de queijo,816,"R$ 18,17",10.03
LJ01,2026-05,salgados,Sanduíche de frango,647,"R$ 27,01",15.16
LJ01,2026-05,Salgados,Empada de palmito,523,"R$ 15,09",7.71
LJ01,2026-05,doces,Brownie,790,"R$ 14,14",5.92
LJ01,2026-05,Doces,Cookie de castanha,692,"R$ 10,85",4.93
LJ01,2026-05,Doces,Bolo de cenoura (fatia),438,"R$ 13,63",5.45
LJ01,2026-05,Doces,Torta de limão (fatia),352,"R$ 17,11",7.26
LJ01,2026-05,Varejo,Café em grãos 250g,407,"R$ 41,98",27.54
LJ01,2026-05,Grãos e varejo,Café em grãos 500g,279,"R$ 72,08",51.18
LJ01,2026-05,Varejo,Cápsulas 10 un.,368,"R$ 37,23",25.63
LJ01,2026-05,Grãos e varejo,Caneca Turmalina,157,"R$ 58,45",37.62
LJ01,2026-06,Café,Espresso,1665,"R$ 8,54",1.75
LJ01,2026-06,cafe,Coado 300ml,1436,"R$ 11,02",2.32
LJ01,2026-06,Café,Cappuccino,1521,"R$ 15,40",3.78
LJ01,2026-06,Cafés,Latte,1362,"R$ 16,30",3.76
LJ01,2026-06,CAFÉ,Mocha,716,"R$ 17,96",4.80
LJ01,2026-06,Geladas,Cold brew 400ml,969,"R$ 16,73",5.31
LJ01,2026-06,bebidas geladas,Frappé Turmalina,751,"R$ 21,06",7.33
LJ01,2026-06,Bebidas geladas,Chá gelado da casa,512,"R$ 12,89",4.20
LJ01,2026-06,Geladas,Limonada suíça,453,"R$ 13,67",4.41
LJ01,2026-06,salgados,Pão de queijo (2 un.),1988,"R$ 11,76",6.10
LJ01,2026-06,SALGADOS,Croissant de queijo,919,"R$ 17,92",9.97
LJ01,2026-06,Salgados,Sanduíche de frango,742,"R$ 27,69",15.92
LJ01,2026-06,SALGADOS,Empada de palmito,631,"R$ 14,86",8.26
LJ01,2026-06,Doces,Brownie,778,"R$ 13,59",6.33
LJ01,2026-06,Doces,Cookie de castanha,651,"R$ 10,93",4.84
LJ01,2026-06,doces,Bolo de cenoura (fatia),468,"R$ 13,63",5.71
LJ01,2026-06,Doces,Torta de limão (fatia),360,"R$ 16,60",7.17
LJ01,2026-06,Grãos e varejo,Café em grãos 250g,522,"R$ 41,06",26.52
LJ01,2026-06,Grãos e varejo,Café em grãos 500g,282,"R$ 74,71",51.38
LJ01,2026-06,Varejo,Cápsulas 10 un.,350,"R$ 37,43",
LJ01,2026-06,Varejo,Caneca Turmalina,156,"R$ 60,39",38.40
LJ02,2026-01,CAFÉ,Espresso,1395,"R$ 8,41",1.63
LJ02,2026-01,Café,Coado 300ml,1224,"R$ 11,22",2.23
LJ02,2026-01,cafe,Cappuccino,1239,"R$ 15,04",3.47
LJ02,2026-01,cafe,Latte,1073,"R$ 16,42",3.80
LJ02,2026-01,cafe,Mocha,654,"R$ 17,99",4.99
LJ02,2026-01,bebidas geladas,Cold brew 400ml,751,"R$ 17,32",5.23
LJ02,2026-01,bebidas geladas,Frappé Turmalina,575,"R$ 21,00",7.72
LJ02,2026-01,Bebidas geladas,Chá gelado da casa,437,"R$ 12,97",4.08
LJ02,2026-01,Geladas,Limonada suíça,341,"R$ 14,00",4.49
LJ02,2026-01,SALGADOS,Pão de queijo (2 un.),1194,"R$ 11,68",6.38
LJ02,2026-01,SALGADOS,Croissant de queijo,613,"R$ 17,81",9.95
LJ02,2026-01,salgados,Sanduíche de frango,470,"R$ 27,15",15.41
LJ02,2026-01,salgados,Empada de palmito,446,"R$ 14,79",8.39
LJ02,2026-01,doces,Brownie,584,"R$ 14,34",6.07
LJ02,2026-01,Doces,Cookie de castanha,581,"R$ 11,24",4.60
LJ02,2026-01,Doces,Bolo de cenoura (fatia),357,"R$ 13,90",5.59
LJ02,2026-01,Doces,Torta de limão (fatia),309,"R$ 16,86",7.12
LJ02,2026-01,Varejo,Café em grãos 250g,169,"R$ 41,98",
LJ02,2026-01,Grãos e varejo,Café em grãos 500g,118,"R$ 73,40",46.77
LJ02,2026-01,Varejo,Cápsulas 10 un.,138,"R$ 37,75",25.72
LJ02,2026-01,Grãos e varejo,Caneca Turmalina,65,"R$ 57,88",
LJ02,2026-02,cafe,Espresso,1248,"R$ 8,60",1.77
LJ02,2026-02,CAFÉ,Coado 300ml,1014,"R$ 10,73",2.40
LJ02,2026-02,Cafés,Cappuccino,1243,"R$ 15,32",3.78
LJ02,2026-02,cafe,Latte,971,"R$ 16,31",3.77
LJ02,2026-02,cafe,Mocha,544,"R$ 18,21",4.99
LJ02,2026-02,bebidas geladas,Cold brew 400ml,673,"R$ 16,89",5.06
LJ02,2026-02,Geladas,Frappé Turmalina,541,"R$ 20,37",7.47
LJ02,2026-02,Bebidas geladas,Chá gelado da casa,333,"R$ 13,17",4.17
LJ02,2026-02,bebidas geladas,Limonada suíça,306,"R$ 13,81",4.61
LJ02,2026-02,Salgados,Pão de queijo (2 un.),1048,"R$ 12,16",6.48
LJ02,2026-02,salgados,Croissant de queijo,550,"R$ 18,42",9.28
LJ02,2026-02,SALGADOS,Sanduíche de frango,390,"R$ 26,46",14.83
LJ02,2026-02,salgados,Empada de palmito,357,"R$ 14,90",7.97
LJ02,2026-02,Doces,Brownie,570,"R$ 14,10",6.40
LJ02,2026-02,Doces,Cookie de castanha,438,"R$ 11,16",4.77
LJ02,2026-02,Doces,Bolo de cenoura (fatia),368,"R$ 13,73",5.63
LJ02,2026-02,doces,Torta de limão (fatia),253,"R$ 16,81",7.67
LJ02,2026-02,Varejo,Café em grãos 250g,141,"R$ 42,73",
LJ02,2026-02,graos e varejo,Café em grãos 500g,91,"R$ 75,95",
LJ02,2026-02,Grãos e varejo,Cápsulas 10 un.,129,"R$ 37,48",26.23
LJ02,2026-02,Grãos e varejo,Caneca Turmalina,53,"R$ 59,01",38.61
LJ02,2026-03,Cafés,Espresso,1266,"R$ 8,50",1.62
LJ02,2026-03,CAFÉ,Coado 300ml,1167,"R$ 11,22",2.34
LJ02,2026-03,CAFÉ,Cappuccino,1378,"R$ 15,86",3.44
LJ02,2026-03,cafe,Latte,1153,"R$ 16,32",3.93
LJ02,2026-03,Cafés,Mocha,565,"R$ 18,98",4.78
LJ02,2026-03,Geladas,Cold brew 400ml,757,"R$ 16,87",5.13
LJ02,2026-03,Bebidas geladas,Frappé Turmalina,558,"R$ 20,49",7.60
LJ02,2026-03,bebidas geladas,Chá gelado da casa,425,"R$ 12,97",4.36
LJ02,2026-03,Bebidas geladas,Limonada suíça,298,"R$ 14,22",4.45
LJ02,2026-03,salgados,Pão de queijo (2 un.),1331,"R$ 12,23",6.02
LJ02,2026-03,SALGADOS,Croissant de queijo,614,"R$ 18,15",9.49
LJ02,2026-03,SALGADOS,Sanduíche de frango,447,"R$ 27,08",15.12
LJ02,2026-03,Salgados,Empada de palmito,438,"R$ 15,35",8.26
LJ02,2026-03,Doces,Brownie,614,"R$ 14,19",5.91
LJ02,2026-03,doces,Cookie de castanha,493,"R$ 11,07",4.83
LJ02,2026-03,Doces,Bolo de cenoura (fatia),381,"R$ 13,69",5.67
LJ02,2026-03,Doces,Torta de limão (fatia),282,"R$ 16,70",7.61
LJ02,2026-03,Varejo,Café em grãos 250g,173,"R$ 42,58",28.14
LJ02,2026-03,Varejo,Café em grãos 500g,102,"R$ 72,61",48.45
LJ02,2026-03,graos e varejo,Cápsulas 10 un.,128,"R$ 38,29",27.68
LJ02,2026-03,Varejo,Caneca Turmalina,66,"R$ 60,00",
LJ02,2026-04,Cafés,Espresso,1523,"R$ 8,62",1.71
LJ02,2026-04,Café,Coado 300ml,1338,"R$ 11,00",2.40
LJ02,2026-04,cafe,Cappuccino,1436,"R$ 15,13",3.56
LJ02,2026-04,Café,Latte,1131,"R$ 16,44",3.93
LJ02,2026-04,cafe,Mocha,590,"R$ 18,09",4.79
LJ02,2026-04,Bebidas geladas,Cold brew 400ml,792,"R$ 16,73",5.08
LJ02,2026-04,bebidas geladas,Frappé Turmalina,638,"R$ 21,49",7.48
LJ02,2026-04,Geladas,Chá gelado da casa,444,"R$ 13,11",4.17
LJ02,2026-04,Bebidas geladas,Limonada suíça,363,"R$ 14,29",4.68
LJ02,2026-04,Salgados,Pão de queijo (2 un.),1192,"R$ 11,71",6.37
LJ02,2026-04,Salgados,Croissant de queijo,582,"R$ 18,47",9.57
LJ02,2026-04,Salgados,Sanduíche de frango,463,"R$ 26,89",15.04
LJ02,2026-04,Salgados,Empada de palmito,377,"R$ 14,59",8.44
LJ02,2026-04,doces,Brownie,624,"R$ 13,77",5.88
LJ02,2026-04,Doces,Cookie de castanha,577,"R$ 10,96",4.66
LJ02,2026-04,Doces,Bolo de cenoura (fatia),421,"R$ 13,28",5.63
LJ02,2026-04,doces,Torta de limão (fatia),318,"R$ 16,72",7.18
LJ02,2026-04,Grãos e varejo,Café em grãos 250g,173,"R$ 41,34",28.31
LJ02,2026-04,graos e varejo,Café em grãos 500g,108,"R$ 74,22",50.44
LJ02,2026-04,graos e varejo,Cápsulas 10 un.,140,"R$ 38,19",27.91
LJ02,2026-04,graos e varejo,Caneca Turmalina,61,"R$ 58,20",
LJ02,2026-05,Cafés,Espresso,1752,"R$ 8,50",1.62
LJ02,2026-05,Cafés,Coado 300ml,1372,"R$ 10,99",2.24
LJ02,2026-05,Café,Cappuccino,1639,"R$ 15,13",3.53
LJ02,2026-05,Cafés,Latte,1147,"R$ 15,58",3.87
LJ02,2026-05,CAFÉ,Mocha,699,"R$ 18,78",4.99
LJ02,2026-05,Geladas,Cold brew 400ml,748,"R$ 17,38",5.22
LJ02,2026-05,Bebidas geladas,Frappé Turmalina,719,"R$ 20,41",7.47
LJ02,2026-05,bebidas geladas,Chá gelado da casa,504,"R$ 13,36",4.05
LJ02,2026-05,Geladas,Limonada suíça,368,"R$ 13,80",4.68
LJ02,2026-05,Salgados,Pão de queijo (2 un.),1344,"R$ 12,35",6.02
LJ02,2026-05,SALGADOS,Croissant de queijo,777,"R$ 17,94",9.92
LJ02,2026-05,SALGADOS,Sanduíche de frango,557,"R$ 26,85",15.09
LJ02,2026-05,SALGADOS,Empada de palmito,459,"R$ 15,22",8.25
LJ02,2026-05,Doces,Brownie,657,"R$ 14,02",6.17
LJ02,2026-05,Doces,Cookie de castanha,641,"R$ 10,87",4.67
LJ02,2026-05,Doces,Bolo de cenoura (fatia),470,"R$ 13,27",5.88
LJ02,2026-05,Doces,Torta de limão (fatia),337,"R$ 16,60",7.44
LJ02,2026-05,graos e varejo,Café em grãos 250g,221,"R$ 42,90",
LJ02,2026-05,Grãos e varejo,Café em grãos 500g,128,"R$ 73,08",
LJ02,2026-05,graos e varejo,Cápsulas 10 un.,167,"R$ 36,95",28.07
LJ02,2026-05,Varejo,Caneca Turmalina,71,"R$ 58,08",37.61
LJ02,2026-06,CAFÉ,Espresso,1631,"R$ 8,67",1.65
LJ02,2026-06,cafe,Coado 300ml,1447,"R$ 10,95",2.40
LJ02,2026-06,CAFÉ,Cappuccino,1422,"R$ 15,96",3.73
LJ02,2026-06,cafe,Latte,1331,"R$ 16,35",3.80
LJ02,2026-06,Café,Mocha,740,"R$ 18,26",4.99
LJ02,2026-06,Geladas,Cold brew 400ml,836,"R$ 17,24",5.33
LJ02,2026-06,Bebidas geladas,Frappé Turmalina,585,"R$ 21,35",7.51
LJ02,2026-06,Bebidas geladas,Chá gelado da casa,441,"R$ 12,73",4.32
LJ02,2026-06,bebidas geladas,Limonada suíça,379,"R$ 14,24",4.54
LJ02,2026-06,salgados,Pão de queijo (2 un.),1419,"R$ 11,88",6.12
LJ02,2026-06,SALGADOS,Croissant de queijo,665,"R$ 17,95",9.81
LJ02,2026-06,SALGADOS,Sanduíche de frango,529,"R$ 26,30",15.02
LJ02,2026-06,SALGADOS,Empada de palmito,485,"R$ 14,97",8.04
LJ02,2026-06,Doces,Brownie,718,"R$ 13,88",5.96
LJ02,2026-06,doces,Cookie de castanha,543,"R$ 11,11",4.68
LJ02,2026-06,Doces,Bolo de cenoura (fatia),465,"R$ 13,39",5.77
LJ02,2026-06,Doces,Torta de limão (fatia),323,"R$ 16,87",7.77
LJ02,2026-06,Varejo,Café em grãos 250g,184,"R$ 41,79",26.79
LJ02,2026-06,graos e varejo,Café em grãos 500g,117,"R$ 74,87",50.15
LJ02,2026-06,graos e varejo,Cápsulas 10 un.,167,"R$ 37,57",27.35
LJ02,2026-06,Varejo,Caneca Turmalina,65,"R$ 58,95",39.48
LJ03,2026-01,Café,Espresso,911,"R$ 8,70",1.72
LJ03,2026-01,cafe,Coado 300ml,748,"R$ 10,71",2.25
LJ03,2026-01,Cafés,Cappuccino,918,"R$ 15,57",3.57
LJ03,2026-01,CAFÉ,Latte,758,"R$ 15,78",3.80
LJ03,2026-01,Cafés,Mocha,380,"R$ 18,92",5.02
LJ03,2026-01,Geladas,Cold brew 400ml,504,"R$ 17,51",5.10
LJ03,2026-01,bebidas geladas,Frappé Turmalina,367,"R$ 20,51",7.44
LJ03,2026-01,Bebidas geladas,Chá gelado da casa,258,"R$ 13,26",4.21
LJ03,2026-01,bebidas geladas,Limonada suíça,200,"R$ 13,72",4.63
LJ03,2026-01,Salgados,Pão de queijo (2 un.),845,"R$ 11,92",6.14
LJ03,2026-01,salgados,Croissant de queijo,464,"R$ 17,66",9.35
LJ03,2026-01,SALGADOS,Sanduíche de frango,318,"R$ 27,58",15.65
LJ03,2026-01,Salgados,Empada de palmito,329,"R$ 15,45",8.23
LJ03,2026-01,doces,Brownie,411,"R$ 13,97",5.89
LJ03,2026-01,doces,Cookie de castanha,336,"R$ 11,13",4.81
LJ03,2026-01,Doces,Bolo de cenoura (fatia),272,"R$ 13,39",5.64
LJ03,2026-01,Doces,Torta de limão (fatia),209,"R$ 16,63",7.54
LJ03,2026-01,graos e varejo,Café em grãos 250g,123,"R$ 41,24",
LJ03,2026-01,graos e varejo,Café em grãos 500g,71,"R$ 75,35",49.58
LJ03,2026-01,Varejo,Cápsulas 10 un.,85,"R$ 38,83",
LJ03,2026-01,Grãos e varejo,Caneca Turmalina,42,"R$ 58,64",36.43
LJ03,2026-02,cafe,Espresso,901,"R$ 8,30",1.68
LJ03,2026-02,CAFÉ,Coado 300ml,751,"R$ 11,05",2.38
LJ03,2026-02,Cafés,Cappuccino,779,"R$ 15,47",3.51
LJ03,2026-02,CAFÉ,Latte,658,"R$ 16,13",3.69
LJ03,2026-02,Cafés,Mocha,414,"R$ 19,01",5.07
LJ03,2026-02,bebidas geladas,Cold brew 400ml,391,"R$ 16,85",4.87
LJ03,2026-02,Geladas,Frappé Turmalina,362,"R$ 21,07",7.49
LJ03,2026-02,Bebidas geladas,Chá gelado da casa,248,"R$ 12,99",4.12
LJ03,2026-02,Geladas,Limonada suíça,200,"R$ 14,04",4.65
LJ03,2026-02,Salgados,Pão de queijo (2 un.),859,"R$ 12,35",6.40
LJ03,2026-02,salgados,Croissant de queijo,403,"R$ 17,66",9.91
LJ03,2026-02,SALGADOS,Sanduíche de frango,311,"R$ 26,82",14.99
LJ03,2026-02,salgados,Empada de palmito,250,"R$ 14,95",7.77
LJ03,2026-02,doces,Brownie,346,"R$ 13,65",5.80
LJ03,2026-02,Doces,Cookie de castanha,350,"R$ 10,91",4.78
LJ03,2026-02,Doces,Bolo de cenoura (fatia),246,"R$ 13,68",5.35
LJ03,2026-02,Doces,Torta de limão (fatia),170,"R$ 17,36",7.09
LJ03,2026-02,Varejo,Café em grãos 250g,98,"R$ 41,02",
LJ03,2026-02,graos e varejo,Café em grãos 500g,69,"R$ 73,13",47.76
LJ03,2026-02,Varejo,Cápsulas 10 un.,87,"R$ 38,47",26.02
LJ03,2026-02,Varejo,Caneca Turmalina,39,"R$ 59,90",39.39
LJ03,2026-03,cafe,Espresso,1128,"R$ 8,52",1.65
LJ03,2026-03,Cafés,Coado 300ml,905,"R$ 11,05",2.32
LJ03,2026-03,CAFÉ,Cappuccino,878,"R$ 15,51",3.65
LJ03,2026-03,cafe,Latte,756,"R$ 15,90",3.64
LJ03,2026-03,CAFÉ,Mocha,480,"R$ 18,46",5.02
LJ03,2026-03,Geladas,Cold brew 400ml,520,"R$ 16,80",5.05
LJ03,2026-03,Bebidas geladas,Frappé Turmalina,431,"R$ 21,27",7.78
LJ03,2026-03,Bebidas geladas,Chá gelado da casa,270,"R$ 13,24",4.25
LJ03,2026-03,bebidas geladas,Limonada suíça,234,"R$ 14,19",4.64
LJ03,2026-03,salgados,Pão de queijo (2 un.),1039,"R$ 12,00",5.94
LJ03,2026-03,SALGADOS,Croissant de queijo,506,"R$ 17,97",9.31
LJ03,2026-03,salgados,Sanduíche de frango,355,"R$ 27,54",14.85
LJ03,2026-03,SALGADOS,Empada de palmito,324,"R$ 15,19",8.26
LJ03,2026-03,Doces,Brownie,402,"R$ 13,82",6.07
LJ03,2026-03,doces,Cookie de castanha,367,"R$ 11,25",4.53
LJ03,2026-03,Doces,Bolo de cenoura (fatia),304,"R$ 13,58",5.84
LJ03,2026-03,Doces,Torta de limão (fatia),216,"R$ 17,00",7.23
LJ03,2026-03,graos e varejo,Café em grãos 250g,117,"R$ 41,01",28.81
LJ03,2026-03,Grãos e varejo,Café em grãos 500g,91,"R$ 72,85",50.70
LJ03,2026-03,Varejo,Cápsulas 10 un.,110,"R$ 38,88",25.96
LJ03,2026-03,Grãos e varejo,Caneca Turmalina,47,"R$ 59,28",37.79
LJ03,2026-04,Cafés,Espresso,913,"R$ 8,46",1.73
LJ03,2026-04,Cafés,Coado 300ml,828,"R$ 11,11",2.25
LJ03,2026-04,Cafés,Cappuccino,956,"R$ 15,96",3.51
LJ03,2026-04,cafe,Latte,736,"R$ 16,03",3.75
LJ03,2026-04,cafe,Mocha,460,"R$ 18,26",4.77
LJ03,2026-04,Bebidas geladas,Cold brew 400ml,504,"R$ 17,19",5.35
LJ03,2026-04,Geladas,Frappé Turmalina,370,"R$ 20,40",7.78
LJ03,2026-04,Bebidas geladas,Chá gelado da casa,293,"R$ 12,75",4.11
LJ03,2026-04,Bebidas geladas,Limonada suíça,246,"R$ 14,08",4.51
LJ03,2026-04,Salgados,Pão de queijo (2 un.),885,"R$ 11,90",6.12
LJ03,2026-04,Salgados,Croissant de queijo,469,"R$ 18,53",10.02
LJ03,2026-04,Salgados,Sanduíche de frango,397,"R$ 27,15",15.79
LJ03,2026-04,salgados,Empada de palmito,344,"R$ 15,36",8.50
LJ03,2026-04,Doces,Brownie,425,"R$ 13,98",6.10
LJ03,2026-04,doces,Cookie de castanha,334,"R$ 11,31",4.67
LJ03,2026-04,Doces,Bolo de cenoura (fatia),245,"R$ 13,75",5.70
LJ03,2026-04,doces,Torta de limão (fatia),221,"R$ 16,98",7.73
LJ03,2026-04,graos e varejo,Café em grãos 250g,130,"R$ 42,88",28.43
LJ03,2026-04,Grãos e varejo,Café em grãos 500g,86,"R$ 73,71",
LJ03,2026-04,Varejo,Cápsulas 10 un.,103,"R$ 37,83",27.06
LJ03,2026-04,graos e varejo,Caneca Turmalina,41,"R$ 60,12",
LJ03,2026-05,cafe,Espresso,1173,"R$ 8,27",1.73
LJ03,2026-05,CAFÉ,Coado 300ml,931,"R$ 10,69",2.31
LJ03,2026-05,cafe,Cappuccino,1152,"R$ 15,88",3.60
LJ03,2026-05,CAFÉ,Latte,862,"R$ 15,92",3.98
LJ03,2026-05,Café,Mocha,507,"R$ 18,00",4.91
LJ03,2026-05,bebidas geladas,Cold brew 400ml,517,"R$ 16,79",4.87
LJ03,2026-05,Geladas,Frappé Turmalina,470,"R$ 21,34",7.87
LJ03,2026-05,Geladas,Chá gelado da casa,338,"R$ 12,65",4.26
LJ03,2026-05,Geladas,Limonada suíça,235,"R$ 13,94",4.56
LJ03,2026-05,salgados,Pão de queijo (2 un.),1134,"R$ 12,00",6.41
LJ03,2026-05,Salgados,Croissant de queijo,513,"R$ 17,53",9.29
LJ03,2026-05,Salgados,Sanduíche de frango,423,"R$ 26,54",14.94
LJ03,2026-05,SALGADOS,Empada de palmito,346,"R$ 15,13",7.87
LJ03,2026-05,Doces,Brownie,505,"R$ 14,23",6.00
LJ03,2026-05,Doces,Cookie de castanha,416,"R$ 11,26",4.55
LJ03,2026-05,Doces,Bolo de cenoura (fatia),311,"R$ 13,53",5.42
